Text,Cipher,IC,Top9Letters,Top5Bigrams
ooiteanixeheutihnxtrianhoeshthqiatkxeteitsmwxvalahraoxgetcwfraxhysstefrxunnadfocx,ColumnarTransposition,0.059876543209876544,teaxhionr,te ea ax xh hi
hscnclnpoohownnisnweeyteocuhamntpebatqtimkoonknxfoeenoohlwymaeedoytefref,ColumnarTransposition,0.06455399061032864,oenthcwya,oe en nt th hc
iooaaootlnvntcrfuhixesheinnesxetepdocoudharnnnaspetnaiakotmhfibewwcfbi,ColumnarTransposition,0.0546583850931677,noeiathcf,no oe ei ia at
ntvrieaftxbrpnmsoahxlhredtieoxgwefnrtrhxiayceronrxhamadnshwxstiteancsxeueedelfuo,ColumnarTransposition,0.05411392405063291,erxntahis,er rx xn nt ta
lieshesxenohsotehketmschetreolnxtsluewetswthoeoxmofttmixvttsrfoxelhitrnx,ColumnarTransposition,0.07902973395931143,etsohxlin,et ts so oh hx
btuvaeeiyqiuarxhafrcfnuierowaxntopniacsoitofxanooewtrtneonixiisriswdotunrfs,ColumnarTransposition,0.06054054054054054,iontareux,io on nt ta ar
nltdcevoalseahireosttcfxegttuesxwrfhshoxieietguxdiswcfewwnaiorunrtihnnox,ColumnarTransposition,0.05359937402190924,etinosxhr,et ti in no os
dttnainatifnaeexiwnrayrsnttiednxnnhclfexnigedsetasahraidodeawfrxsatnaitxihhcantn,ColumnarTransposition,0.07879746835443038,natiedxrs,na at ti ie ed
msnltiiipjyegtnotucenwsypxsmptwtnahlitieihihsdoeummxiosysoriitatxoeeiihstolftn,ColumnarTransposition,0.06626706626706627,itseonmhl,it ts se eo on
tynhhhfeoaiaetwtiaaaarovtndliretdtoosfsehsaftsvphhhoinrxtienmguntitiee,ColumnarTransposition,0.06749482401656315,theainosf,th he ea ai in
mfisasedcitsfninttomrireeexsmedibllxueirfancxtcoifvaoxeonnaeblxnhsoaheox,ColumnarTransposition,0.05829420970266041,einoxsaft,ei in no ox xs
arrsioowsnxnittctuhenxmliraodrntxmeoihnfylatyahohtneaoxassyrbaedbxtfhweenecux,ColumnarTransposition,0.05365686944634313,anteoxrhs,an nt te eo ox
ktsbuhcniihlalsstodgoinxtokeseoxtafwratihrioeblxhhtielieaynftroxnsiltthi,ColumnarTransposition,0.06103286384976526,tihoslena,ti ih ho os sl
rctlletnehsataihesaiyhreeoatameertcrmneennefnnreatxeptoiibopaehecnmecxod,ColumnarTransposition,0.08176838810641628,etnarchio,et tn na ar rc
iobnnoaohonaltcnuyggpsatkboxattttoueltmosxinrehoorilhyutfciaisdpsnilri,ColumnarTransposition,0.05714285714285714,otinalshu,ot ti in na al
learraegcfhifwxbeyetshnswntlnxlcrmeytiutinoixwesfhooieeoghlginsoesmnxotseox,ColumnarTransposition,0.057297297297297295,eoisnxtlh,eo oi is sn nx
oeialafattserwainlouhhtxfchrlrefitrhrncfiubdwiiteaiawtyntnfspmhmdaluliei,ColumnarTransposition,0.05672926447574335,iatelfrhn,ia at te el lf
ioptkhnoleoelpaoohveatdingahwetfpsmsfgrreiausaaeiuetwtdrmrntlstfrteslism,ColumnarTransposition,0.05516431924882629,teasiorlp,te ea as si io
tosensdersycttxioonatcsnimpeeawhfimdeiitoshlhheelaenhegneagxtsngnhotsnaesns,ColumnarTransposition,0.07243243243243243,esnthoiag,es sn nt th ho
rtibenfxthowrhosotysetceisddmaoxfinlattxhefoyouettrnvichsoaewatxehiulunx,ColumnarTransposition,0.054773082942097026,teoixhnsa,te eo oi ix xh
afrilsbvriioaxrnhentriteesaidoltmcyteweeaovuixaleesadaynpetkosrarrprwd,ColumnarTransposition,0.05921325051759834,earitsoln,ea ar ri it ts
aetrfdertmeosnhcmxnteuoxhmrrtfowfrnxtooakxwwheor,ColumnarTransposition,0.06382978723404255,roetxfmnh,ro oe et tx xf
wppeuieipstnroryaxsuabpxvcemaxhusneteiaacxosacba,ColumnarTransposition,0.05585106382978723,aepsxuict,ae ep ps sx xu
eetrwnxfithtomrnhohgxekoseeddwrbriercwihba,ColumnarTransposition,0.0545876887340302,erhtwionx,er rh ht tw wi
odcqeeosicnnechifmaisnttfoomrnefcodgmeouoantn,ColumnarTransposition,0.06767676767676768,onecifmtd,on ne ec ci if
nmlyoxtapanxameocooimhixdeyemxitldtxndedex,ColumnarTransposition,0.06620209059233449,xemodntai,xe em mo od dn
mrmhxseanxshsnooiudxrievxetonxthfgxeemaxsnrix,ColumnarTransposition,0.06767676767676768,xesnmrhoi,xe es sn nm mr
ridoyoxlomlaoxavnfamdpiueftrtfoarfxnghhakxenarenx,ColumnarTransposition,0.05272108843537415,aoxrnfeid,ao ox xr rn nf
ambnxselgxaaeixhtrytetkohtrfaxaaymxwiauateinxhmnwx,ColumnarTransposition,0.0653061224489796,axtemnihr,ax xt te em mn
eolsnidgaectladnerrcxetniiyxafipdaxrllealntigibnx,ColumnarTransposition,0.061224489795918366,ielnaxdtr,ie el ln na ax
nmgndaeyeoeriexxetsxelrlstthsxnpwnyrtgmxneiteaylet,ColumnarTransposition,0.07102040816326531,etnxyrslm,et tn nx xy yr
